"Reference","Datasheet","Qty","DNP","Type","Vendor","Vendor #","_Value_","Description"
"C1,C5,C6,C7,C10,C11,C12,C13,C14,C15,C16,C17,C18,C22,C23,C31","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","16","","Ceramic Cap","Digikey","399-3026-6-ND","0.1uF","0.1µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C2,C4","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H180GA16-01.pdf","2","","Ceramic CAP","Digikey","490-16456-2-ND","18pF","18pF ±2% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"C3,C24","https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us","2","","Ceramic Cap","Digikey","490-5915-2-ND","4.7uF","4.7µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"
"C8,C9","http://www.samsungsem.com/kr/support/product-search/mlcc/CL05C090CB5NNNC.jsp","2","","Ceramic Cap","Digikey","1276-1616-2-ND","9pF","9pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"C19,C30","https://content.kemet.com/datasheets/KEM_C1076_X7R_HV_AUTO_SMD.pdf","2","","SMT Ceramic Cap","Digikey","399-16644-1-ND","10nF","CAP CER 0805 10NF 500V X7R 10%"
"C20","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","1","","Alu  Cap Audio","Digikey","493-3212-1-ND","47uF","47µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C"
"C21","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","1","","Alu  Cap Audio","Digikey","493-3208-1-ND","10uF","10µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C"
"C25,C27","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B104JB8NNNC_Spec.pdf","2","","Capacitor","Digikey","1276-1033-2-ND","0.1uF","0.1 µF ±5% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C26,C28","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","2","","Ceramic Cap","Digikey","445-7887-2-ND","10uF","10 µF ±10% 35V Ceramic Capacitor X5R 1206 (3216 Metric)"
"C29","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","1","","Capacitor","Digikey","399-7010-1-ND","1uF","1µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric)"
"D1,D2,D3,D4,D5,D6,D7,D14,D18","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","9","","Blue LED Colorless","Digikey","160-1837-2-ND","Blue LED","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"
"D8,D19","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf","2","","TVS Diode Zener","Digikey","SMAJ30CALFCT-ND","SMAJ30CA","48.4V Clamp 8.3A Ipp Tvs Diode Surface Mount DO-214AC (SMA)"
"D9","https://www.bourns.com/docs/Product-Datasheets/SMAJ.pdf","1","","Diode","Digikey","SMAJ24ABTR-ND","SMAJ24A","38.9V Clamp 10.3A Ipp Tvs Diode Surface Mount DO-214AC (SMA)"
"D13","https://www.mccsemi.com/pdf/Products/LMB12S-LMB110S(LMBS-1).pdf","1","","Diode","Digikey","353-LMB110S-TPTR-ND","LMB110S-TP","Bridge Rectifier Single Phase Schottky 100 V Surface Mount LMBS-1"
"F1","https://www.keyelco.com/userAssets/file/M65p41.pdf","1","","Fuse Holder","Digikey","36-3557-2-ND","3557-2","Fuse Block 30 A 500V 1 Circuit Blade Through Hole"
"H1,H2,H3,H4,H5,H6","~","6","","","","","",""
"J1","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/20021121.pdf","1","","SMT Pin Header","Digikey","609-3695-1-ND","20021121-00010C4LF","CONN HEADER SMD 10POS 1.27MM"
"J2","http://www.memoryprotectiondevices.com/datasheets/BU2032SM-JJ-GTR-datasheet.pdf","1","","Battery Clip","Digikey","BU2032SM-JJ-GCT-ND","Battery Clip","Battery Holder (Open) Coin, 20.0mm 1 Cell SMD (SMT) Tab"
"J3","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/901/90130/901301210_sd.pdf?inline","1","","Connector","Digikey","WM8249-ND","0901301210","Connector Header Through Hole 10 position 0.100"" (2.54mm)"
"J4,J8","https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/901/90130/901301108_sd.pdf?inline","2","","Connector","Digikey","WM8234-ND","0901301108","Connector Header Through Hole 8 position 0.100"" (2.54mm)"
