"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5,C6,C7,C10,C11,C12,C13,C14,C15,C16,C17,C18","C0402C104K9PACTU","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","AVR-KiCAD-Lib-Resistors:R0402","13",""
"C2,C4","GCM1555C1H180GA16D","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H180GA16-01.pdf","AVR-KiCAD-Lib-Capacitors:C0402","2",""
"C3","GRM155R60J475ME47D","https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx?la=en-us","AVR-KiCAD-Lib-Capacitors:C0402","1",""
"C8,C9","CL05C090CB5NNNC","http://www.samsungsem.com/kr/support/product-search/mlcc/CL05C090CB5NNNC.jsp","AVR-KiCAD-Lib-Capacitors:C0402","2",""
"C19","C0805C103KCRACAUTO","https://content.kemet.com/datasheets/KEM_C1076_X7R_HV_AUTO_SMD.pdf","AVR-KiCAD-Lib-Capacitors:C0805","1",""
"C20","UUQ1H470MCL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","AVR-KiCAD-Lib-Capacitors:CP_Elec_8x10","1",""
"C21","UUQ1H100MCL1GB","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","AVR-KiCAD-Lib-Capacitors:CP_Elec_4x5.3","1",""
"C22","UUQ1H010MCL1GB","https://www.nichicon.co.jp/english/products/pdfs/e-uuq.pdf","AVR-KiCAD-Lib-Capacitors:CP_Elec_4x5.3","1",""
"C23,C24","UCM1C470MCL1GS","http://nichicon-us.com/english/products/pdfs/e-ucm.pdf","AVR-KiCAD-Lib-Capacitors:UCM1C470MCL1GS","2",""
"C25,C27","CL10B104JB8NNNC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B104JB8NNNC_Spec.pdf","AVR-KiCAD-Lib-Capacitors:C0603","2",""
"C26,C28","CGA5L3X5R1V106K160AB","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf","AVR-KiCAD-Lib-Capacitors:C1206","2",""
"C29","C1206C105K3RACAUTO","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","AVR-KiCAD-Lib-Diodes:D_SOD-123","1",""
"D1,D2,D3,D4,D5,D6,D7,D14,D18","LTST-C194TBKT","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","AVR-KiCAD-Lib-Diodes:LED0603","9",""
"D8,D9,D10,D11,D12,D15,D16,D17","LTST-C194KGKT","https://optoelectronics.liteon.com/upload/download/DS22-2010-0197/LTST-C194KGKT.PDF","AVR-KiCAD-Lib-Diodes:LED0603","8",""
"D13","LMB110S-TP","https://www.mccsemi.com/pdf/Products/LMB12S-LMB110S(LMBS-1).pdf","AVR-KiCAD-Lib-Diodes:LMB110S-TP","1",""
